2016/09/29 06:40:15 server listening port 123 ...
2016/09/29 06:40:15 server listening port 124 ...
2016/09/29 06:43:00 creating cipher for port: 123
2016/09/29 06:43:00 creating cipher for port: 124
2016/09/29 06:43:00 error getting request 117.89.118.202:18977 45.32.66.165:124 EOF
2016/09/29 06:43:00 error getting request 117.89.118.202:17538 45.32.66.165:124 EOF
2016/09/29 06:43:00 error getting request 117.89.118.202:19777 45.32.66.165:124 addr type 10 not supported
2016/09/29 06:43:01 error getting request 117.89.118.202:17729 45.32.66.165:124 EOF
2016/09/29 06:43:01 error getting request 117.89.118.202:19233 45.32.66.165:124 EOF
2016/09/29 06:43:01 error getting request 117.89.118.202:20161 45.32.66.165:124 EOF
2016/09/29 06:43:02 error getting request 117.89.118.202:17857 45.32.66.165:124 EOF
2016/09/29 06:43:02 error getting request 117.89.118.202:19457 45.32.66.165:124 EOF
2016/09/29 06:43:03 error getting request 117.89.118.202:20385 45.32.66.165:124 EOF
2016/09/29 06:43:03 error getting request 117.89.118.202:18145 45.32.66.165:124 EOF
2016/09/29 06:43:04 error getting request 117.89.118.202:18305 45.32.66.165:124 EOF
2016/09/29 06:43:05 error getting request 117.89.118.202:18594 45.32.66.165:124 EOF
2016/09/29 06:43:12 error getting request 117.89.118.202:22689 45.32.66.165:124 EOF
2016/09/29 06:43:14 error getting request 117.89.118.202:24449 45.32.66.165:124 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20225 45.32.66.165:124 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:30401 45.32.66.165:124 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:19585 45.32.66.165:124 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:19553 45.32.66.165:123 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20257 45.32.66.165:124 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20129 45.32.66.165:123 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:30370 45.32.66.165:123 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20193 45.32.66.165:123 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20033 45.32.66.165:124 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20065 45.32.66.165:123 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20097 45.32.66.165:124 EOF
2016/09/29 06:46:58 error getting request 117.89.118.202:20289 45.32.66.165:123 EOF
